,regionName,year,estL,est,estU,wpp_lb,estNL,estN,estNU
138,Eastern Europe,2011,0.066712191,0.070509304,0.074768106,3468833,231413.45,244585,259358.075
139,Eastern Europe,2012,0.066939158,0.070562429,0.074562885,3546264,237383.925,250233,264419.675
140,Eastern Europe,2013,0.067140263,0.070596119,0.07437389,3517233,236147.95,248303,261590.3
141,Eastern Europe,2014,0.067400896,0.070706314,0.074289783,3538213,238478.725,250174,262853.075
142,Eastern Europe,2015,0.067310137,0.070513071,0.073963113,3508385,236149.875,247387,259491.075
143,Eastern Europe,2016,0.067465086,0.070570602,0.073933915,3450006,232754.95,243469,255072.45
144,Eastern Europe,2017,0.067517212,0.070512705,0.073794519,3211166,216808.975,226428,236966.45
145,Eastern Europe,2018,0.067400214,0.070470676,0.073853776,3064083,206519.85,215928,226294.1
146,Eastern Europe,2019,0.067241983,0.070416307,0.073909345,2880952,193720.925,202866,212929.275
147,Eastern Europe,2020,0.066985534,0.070351037,0.074030528,2793349,187113.975,196515,206793.1
148,Global,2000,0.154833276,0.16568994,0.178916828,133504623,20670958.13,22120373,23886223.7
149,Global,2001,0.155477213,0.166229841,0.179381638,133389462,20739021.85,22173309,23927620.23
150,Global,2002,0.154848752,0.165452548,0.178475034,133549874,20680031.28,22096167,23835318.25
151,Global,2003,0.153807578,0.16429444,0.177167159,133850890,20587281.2,21990957,23713981.93
152,Global,2004,0.15241262,0.162645707,0.175362687,134782654,20542577.45,21921820,23635848.38
153,Global,2005,0.150834865,0.160839556,0.173407929,135358158,20416729.43,21770946,23472177.8
154,Global,2006,0.149095303,0.158875133,0.171296438,136472931,20347473,21682155,23377327.03
155,Global,2007,0.147401059,0.157097894,0.169566843,138128198,20360242.73,21699649,23421962.4
156,Global,2008,0.145881329,0.15538529,0.167738321,139736084,20384885.63,21712932,23439096.05
157,Global,2009,0.144637027,0.154212737,0.166603795,140784577,20362662.7,21710775,23455244.83
158,Global,2010,0.143517853,0.153210367,0.165709277,141227088,20268608.4,21637454,23402638.7
159,Global,2011,0.142380708,0.152135806,0.16469466,141711801,20177026.53,21559439,23339176.93
160,Global,2012,0.140288976,0.150010297,0.162507734,143747006,20166120.33,21563531,23360000.23
161,Global,2013,0.139880196,0.149692176,0.162305472,142976771,19999618.78,21402504,23205912.3
